Enr;IDPRessources;IDZone;Ressource;Caracteristique;UtilisationActuelle;Potentialite;Contrainte;ActionaMener;AccesControle;Archive;IDSource;_MiseAJour;CoordX;CoordY;CoordZ;ModeGestion;Tendances
458;532;140311;Carrieres  de  sable; Non estimes.;;Les carrieres de sable.;;;Dans tous les villages.; ;0;;0;0;0;;
459;533;140311;Cours deeau poissonneux;;;Les cours deeau poissonneux.;;;Les fleuves Sanaga, Nyong, les lacs, les rivieres Mbandjock, Nkanla, Ngwei, etc.; ;0;;0;0;0;;
460;534;140311;Terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;;;Des terres cultivables, produits forestiers ligneux et non ligneux, sites touristiques.;;;Ndokok Pubi, Ndjockloumbe, Ngwei 1, Song Ndong, (berges du fleuve Sanaga, des lacs, etc.).; ;0;;0;0;0;;
461;535;140311;Vastes  etendues  de  terre ;;;De vastes plantations de palmiers e huile.;;;; ;0;;0;0;0;;
462;536;140201;Carrieres de pierres;Gestion direct par lespopulations locales.Par concession pour les demandeurs externes.Fort potentiel.Fortement exploitee.;Construction des habitations, des ponts (makombe) et des ouvrages deart sur les routes : rigoles, trottoirs.Les utilisateurs sont les populations, les entrepreneurs des marches en betiment et travaux publics.;Paysage rocheux qui seetant sur 2 km de Ngoman 2 e Ndocksamba.Ressource dont les sous produits sont le gravier et les melons.;Exploitation artisanale par les populations.;Viabiliser et formaliser leexploitation des carrieres.Creer des richesses et des emplois e travers leactivite deexploitation.;La chefferie.les populations du village.; ;0;;0;0;0;;
463;537;140201;Carrieres  de  sable;Libre Faiblement exploite.;Construction des habitations et betiments, des ouvrages deart.Les populationsLes entreprises de betiment et TP.;Dans les cours deeau (mahe, mile).Le long des rigoles.Dans les carrieres.;Acces difficile aux cours deeau.;Amenager leacces et formaliser leactivite.;Les populations du village.; ;0;;0;0;0;;
464;538;140201;Cours deeau;Gestion directe (libre).Faible valorisation de la ressource.Reseau de cours deeau important dans la partie Est de la commune.;Peche.Extraction de sable.Usage domestique.;Sert de chute sur colline.Possibilite de captage pour irrigation (pisciculture, agriculture) et pour barrage.Site de realisation des ouvrages hydrauliques (captage, barrage, etc.).;Voie deacces difficile (nkam, makombe).Pollution par les pesticides (utilisees par les pecheurs et les agriculteurs).;Amenager les acces.Sensibiliser les populations riveraines.Valoriser le potentiel hydraulique.;Les populations.; ;0;;0;0;0;;
465;539;140201;Vegetattion;Directe ceest-e-dire par le proprietaire du lot (dans les villages autochtones).Gestion par le President du comite de direction (village pionnier).Couvre environ 80% du territoire de leArrondissement.Aucune aire protegee recensee.Forte pression deexploitation humaine sur les produits.;Exploitation du bois deeuvre et de service.Extration des plantes medicinales.Exploitation des PFNL.;Pluieurs essences forestieres : padouck, bilinga, bubinga, iroko, ayous, tali, azobe, pachiloubat, frake, etc.Presence des PFNL (Ngnetum, ero, Cola, etc.).Presence de plantes medicinales.;Coupe anarchique du bois.;Sensibiliser les riverains et requerants sur la gestion durable des ressources.Mettre en place un cadre de concertation entre les parties impliquees dans la gestion et leexploitation (Etat,riverains,exploitants).;Le chef du village.President de comite de direction/Etat (service des forets et Sous prefecture).; ;0;;0;0;0;;
466;540;140201;Sols;Directe et concessionnaire.Presente en quantite suffisante dans les villages.Disponibilite de vastes terres pour exploitation agricole.Potentiel valorise e environ 20% .;Agriculture.Support pour construction des habitats et infrastructures.Materiau de base de construction (brique et briquette en terre).Utilise par toutes les populations.;Support des infrastructures, betiments, de la vegetation, des ressources hydriques et des cultures agricoles.Bonne fertilite pour la production deune large gamme de cultures agricoles (cacao, cafe, agrumes, vivrieres).Base du developpement economique des villages.;Insuffisante technique de gestion et conservation.Difficulte deacces e la propriete fonciere.Inapproprie (laterite) pour le reprofilage routier.;Former et informer les populations sur les techniques de gestion et conservation des sols.Vulgariser et accompagner les populations dans leobtention du titre foncier.;Etatles chefferiesLes populations; ;0;;0;0;0;;
467;541;140201;Faune;Disparition de certaines especes (Cephalophes, varan, crocodile, pangolin, elephants, perroquets, porc-epic, etc.).;Consommation ou alimentation.commerce ou vente.;Plusieurs especes fauniques (pangolin, rats, herisson, singe, chimpanze, porc-epic, cephalophes, varan, crocodile, elephants, civette, serpents, etc.).Source de proteines animales.;Chasse anarchique.Capture des animaux (crocodile, tortue, perroquets, etc.).Menace deextinction de certaines especes fauniques.;Vulgariser la reglementation en matiere de faune.Former les populations e leelevage non conventionnel et aux techniques deaquaculture.;Etat; ;0;;0;0;0;;
468;542;140201;Existence de nombreux sites touristiques;Ressource e plusieurs variantes(micro diversite des sites).;Inexploites;Possibilite de creation deune destination touristique.Source de creation deemplois et de devises.;Acces difficile.Non valorisation de le ressource.;Identifier et repertorier le potentiel touristique des villages.Promouvoir la culture des activites touristiques.Amenager les acces et les sites.;Les populations riveraines.; ;0;;0;0;0;;
469;543;140202;Cours deeau poissonneux;;;les cours deeau poissonneux.;;;; ;0;;0;0;0;;
470;544;140202;Chutes d'eau;;;les chutes.;;;; ;0;;0;0;0;;
471;545;140202;Forets;;;le bois.;;;; ;0;;0;0;0;;
472;546;140202;Vastes  etendues  de  terre ;;;la position geographique.;;;; ;0;;0;0;0;;
473;547;180104;Marecages ;Non exploite.Envasement.;Non exploite.;Agriculture.Pisciculture. ;Enclavement des sites marecageux.;Vulgarisation du potentiel des marecages concernant leagriculture et la pisciculture.Desenclavement des zones de marecage.;Pas de contrele.; ;0;;0;0;0;;
474;548;180104;Cours deeau;Libre deacces. Pollution des cours deeau.;Populations locales.;Peche.irrigation des parcelles agricoles.;Irregularite de certains cours deeau.;;Pas de contrele.; ;0;;0;0;0;;
475;549;180104;Ressources minieres;Anarchique.Abandon du site;Villageois.;Non estime. ;Eloignement et enclavement des sites.Exploitation clandestine.;Interpellation des autorites pour les modalites de Mise en valeur des sites.;Pas de contrele.; ;0;;0;0;0;;
476;550;180104;Vegetattion;Incontrele.;Populations villageoises.Creation de plantations vivrieres et de cacao.;Non estime.;Deforestation.Agriculture Itinerante sur brelis.;Inventaire forestier du massif.Delimitation des zones champetres.;Aucun.; ;0;;0;0;0;;
477;551;180106;Forets;Disparition progressive.Creation de plantations vivrieres, de palmeraie et de cacaoyeres.Gestion durable.;Populations riveraines.Exploitants industriels.;Non estime.;Deforestation.Agriculture itinerante sur brelis.Braconnage.epuisement des stocks.Exploitation des essences protegees.Presence des exploitants illegaux.;Inventaire forestiere du massif.Delimitation des zones champetres.Preservation des forets.Creation des forets communautaires.Reboisement.Organiser un contrele par les Comites riverains.;MINFOF.; ;0;;0;0;0;;
478;552;180106;Marecages ;Creation des etangs piscicoles.Disparition.;Peu exploite.;Non estime;Enclavement des sites deexploitation.Occupation illegale des marecages.;Vulgarisation du potentiel des marecages concernant leagriculture et la pisciculture.Ouverture des pistes de desserte.Vulgarisation des procedures deattribution en jouissance des marecages.;Pas de contrele.; ;0;;0;0;0;;
479;553;180106;Terres cultivables;Baisse de rendement.;Populations locales.Promoteurs des grandes et moyennes exploitations (elites).;Non estime.;Faible productivite agricole.eloignement et enclavement des zones de production.Accaparement des terres coutumieres.Faible securisation des terres coutumieres.Difficile acces des jeunes et des femmes e la propriete.;Amenagement des pistes deacces aux zones de production.Promouvoir la securisation de la propriete fonciere coutumiere.Sensibiliser les communautes sur les enjeux fonciers.;Familial.Coutumier.; ;0;;0;0;0;;
480;554;180106;Cours deeau;Eutrophisation des cours deeau.Perte de la biodiversite aquatique.;Populations locales.;Non estime.;Pollution des cours deeau.Irregularite des regimes de certains cours deeau.Utilisation du poison pour pecher.;Promouvoir les techniques modernes de peche et leaquaculture.Sensibiliser les populations sur les dangers de leutilisation du poison.;Pas de contrele.; ;0;;0;0;0;;
481;555;180106;Carrieres  de  sable;Exploitation communautaire.;Populations locales.;Non estime.;Mauvaise gestion.Difficultes deacces.Conflits.Mauvaise organisation des exploitants.;Amenagement des pistes deaccesMise sur pieds des comites de gestionCreation des GIE/GIC.;Contrele communautaire.; ;0;;0;0;0;;
482;556;180108;Flore et Faune;;;Foret riche en faune et en essences forestieres.;Difficultes deacces de certaines communautes e la foret du fait de leexistence des zones deinsecurite (grands marecages e la partie Sud deEssong Ndong) de leirregularite du relief quelque fois accidente et des changements climatiques.;;; ;0;;0;0;0;;
483;557;180108;Flore;;;Flore diversifiee et exploitee (bois deeuvre, bois de chauffage, collectes des PFNL, chasse, etc.);Difficultes deacces de certaines communautes e la foret du fait de leexistence des zones deinsecurite (grands marecages e la partie Sud deEssong Ndong) de leirregularite du relief quelque fois accidente et des changements climatiques.;;; ;0;;0;0;0;;
484;558;180108;Carrieres  de  sable;;;Existence de nombreuses carrieres de sable, pierres et autres materiaux locaux pouvant etre exploites pour la construction des habitations et pour reduire le chemage.;Mauvais etat des pistes communales.;;; ;0;;0;0;0;;
485;559;180108;Terres cultivables;;;Existence de bas fonds propices e la pratique des cultures maraecheres, des cultures de contre saisons et e la pisciculture.;Degradation et erosion des sols.;;; ;0;;0;0;0;;
486;560;180108;Climat;;;Position geographique strategique.;Perte des essences forestieres par des vents violents lies aux changements climatiques.;;; ;0;;0;0;0;;
487;561;180108;Ressources naturelles;;;Presence des infrastructures sociales de base (19 ecoles primaires publiques, 06 ecoles maternelles publiques et 03 Centres deEducation de Base Non Formelles).;Vetuste et insuffisance des infrastructures deencadrement scolaire.;;; ;0;;0;0;0;;
488;562;180106;Carrieres de pierres;Exploitation communautaire.;Populations locales.;Non estime.;Mauvaise gestion.Difficultes deacces.Conflits.Mauvaise organisation des exploitants.;Amenagement des pistes deacces.Mise sur pieds des comites de gestion.Creation des GIE/ GIC.;Contrele communautaire.; ;0;;0;0;0;;
489;563;180108;Ressources naturelles;;;Acces aux reseaux de telecommunications CAMTEL et les autres operateurs de la telephonie mobile (Orange, MTN et NEXTTEL).;;;; ;0;;0;0;0;;
490;564;180108;Ressources naturelles;;;Presence des forces de maintien de leordre (01 Brigade de Gendarmerie, 01 Commissariat Special).;Instabilite du personnel deappui.;;; ;0;;0;0;0;;
491;565;180108;Ressources naturelles;;;Presence deune Radio Communautaire.;nexistence deinfrastructures deaccueil (complexe hetelier municipal, auberge, restaurante).;;; ;0;;0;0;0;;
492;566;180108;Sites naturels ;;;Presence deune menuiserie.;Inexistence deinfrastructures deaccueil (complexe hetelier municipal, auberge, restaurante).;;; ;0;;0;0;0;;
493;567;180108;Ressources naturelles;;;Presence deun tele centre communautaire polyvalent.;Reseau hydrographique moins important.;;; ;0;;0;0;0;;
494;568;180108;Hydrographie;;;Projet deadduction deeau en cours;Reseau hydrographique moins important.;;; ;0;;0;0;0;;
495;569;180108;Potentiel  touristique;;;Existence de plusieurs sites favorables au developpement de leecotourisme (quatre Campements Baka, la foret communale, et autres espece deanimaux menaces comme les elephants, les gorilles...).;Faiblesse de leeconomie locale.;;; ;0;;0;0;0;;
496;570;180106;Lateritique ;Exploitation communautaire.;Populations etrangeres.;Non estime.;Faible implication des populations locales.Degradation de leenvironnement.;Implication des populations locales dans la gestion des carrieres.Remise en etat du site apres exploitation.;Peu de contrele.; ;0;;0;0;0;;
497;571;180108;Ressources naturelles;;;Position strategique sur la route nationale No 9 et transite entre la Republique du Congo Brazzaville et celle du Cameroun).;Mauvais etat des pistes communales.;;; ;0;;0;0;0;;
498;572;180108;Ressources naturelles;;;Construction de la route Nationale No 9 en cours deexecution (transnationale CamerounCongo).;Degradation et erosion des sols.;;; ;0;;0;0;0;;
499;573;180108;Ressources naturelles;;;Presence des pistes communales.;Mauvais etat des pistes communales.;;; ;0;;0;0;0;;
500;574;180108;Dynamisme  de  la  population;;;elites exterieures positivement manifestes.;Faible esprit de creativite des jeunes.;;; ;0;;0;0;0;;
501;575;180108;Hydrographie;;;Presence deun reseau hydrographique.;Reseau hydrographique moins important.;;; ;0;;0;0;0;;
502;576;180108;Sites naturels ;;;Diversite culturelle.;Degradation et erosion des sols.;;; ;0;;0;0;0;;
503;577;180106;Carriere de Pouzzolane;Mixte: contrelee et non contrelee.;Populations locales et etrangeres.;Non estime.;Mauvaise gestion.Difficultes deacces.Conflits.Mauvaise organisation des exploitants.;Amenagement des pistes deacces.Mise sur pieds des comites de gestion.Creation des GIE/ GIC.;Contrele communautaire.; ;0;;0;0;0;;
504;578;180106;Grottes;Non-exploitee.;Non exploitees.;Non estime.;Faible valorisation.;Amenagement des sites eco touristiques.;Pas de contrele.; ;0;;0;0;0;;
505;579;180106;Chutes d'eau;Non-exploitee.;Non exploitees.;Non estime.;Faible valorisation.;Valorisation des chutes.;Pas de contrele.; ;0;;0;0;0;;
506;580;180403;Forets;;;Son massif forestier.;;;; ;0;;0;0;0;;
507;581;180403;Terres  cultivables,  produits  forestiers  ligneux  et  non  ligneux,  sites  touristiques  (chutes;Ligneuses et non ligneuses.;;Ses nombreuses ressources.;;;; ;0;;0;0;0;;
508;582;180403;Sols;Fertiles.;;La fertilite de ses sols.;;;; ;0;;0;0;0;;
509;583;180403;Structures deaccueil ;Grands et frontaliers;;Leexistence de deux grands marches frontaliers.;;;; ;0;;0;0;0;;
510;584;180403;Dynamisme  de  la  population;Le dynamisme.;;Le dynamisme de sa population.;;;; ;0;;0;0;0;;
511;585;180403;Fortes Ressources humaines ;;;Une forte Elite locale.;;;; ;0;;0;0;0;;
512;586;180403;Hydrographie;Dense.;;Un reseau hydrographique dense.;;;; ;0;;0;0;0;;
513;587;180403;Potentiel  touristique;;;Position limitrophe avec la Commune de Maean avec une ouverture sur le barrage hydroelectrique de Memveeele e Nyabisan.;;;; ;0;;0;0;0;;
514;588;180403;Potentiel  touristique;;;Position frontaliere avec la Republique de Guinee equatoriale.;;;; ;0;;0;0;0;;
515;589;180201;Forets;Creation de plantations vivrieres et de cacao.;Populations riveraines.;Non estime.;Deforestation.Agriculture Itinerante sur brelis.;Inventaire forestiere du massif.Delimitation des zones champetres.;Aucun.; ;0;;0;0;0;;
516;590;180201;Forets;Deforestation;CUF.;;Procedures deacces e la RFA non maetrisees par les communautes riveraines.Non reboisement.;Sensibilisation et formation des populations sur les procedures et calculs et de recouvrement des redevances forestieres.Reboisement des forets exploitees.;MINFOF.; ;0;;0;0;0;;
517;591;180201;Marecages ;Envasement.;Non exploite.;Agriculture.Pisciculture.;Enclavement des sites marecageux.;Vulgarisation du potentiel des marecages concernant leagriculture et la pisciculture.Desenclavement des zones de marecage.;Pas de contrele.; ;0;;0;0;0;;
518;592;180201;Terres cultivables;Baisse de rendement.;Populations locales.;Plusieurs varietes de cultures de rente et vivrieres.;Faible productivite de leactivite agricole.Acces difficiles aux intrants et aux marches.Faible organisation des producteurs.Enclavement des zones de production.;Mise en place des cooperatives agricoles.Renforcement de leencadrement agricole.Amenagement des pistes rurales.;Pas de contrele.; ;0;;0;0;0;;
519;593;180201;Cours deeau;Pollution des cours deeau.;Populations locales.;Peche, irrigation des parcelles agricoles.;Irregularite de certains cours deeau.;;Pas de contrele.; ;0;;0;0;0;;
520;594;180107;Sable, pierre (granite), laterite;Le sable est exploite  et contrele entierement par les prives.;Responsables  de carrieres/populations.;Existence  de plusieurs  carrieres fonctionnelles  et plusieurs petites fonctionnant dans la clandestinite.;Complicite  des responsables de carriere, population  et chauffeurs  / difficulte  de recouvrement des taxes.;Une  creation  de barrieres de police municipale est  en cours.;Indirectement Agent communal.; ;0;;0;0;0;;
521;595;180107;Grottes;La Commune ne tire aucun profit  de leexploitation du gravier.;Societe EDOK ETHER.;Important.;RAS.;La Commune doit rencontrer  la societe  et  Creer des  barrieres  de police municipale.;Societe EDOK ETHER.; ;0;;0;0;0;;
522;596;180107;Lateritique ;Absence  de contrele.;Societes privees.;03  carrieres fonctionnent.important;Perte deopportunites.;La  Commune devrait considerer la  laterite comme une  ressource financiere.;Absence  de contrele.; ;0;;0;0;0;;
523;597;180107;Forets;La Commune regorge  de vastes etendues de forets secondaires.;Diverses societes forestieres, Populations locales.;Assez important.;Les essences rares de bois tendent e disparaitre.;Creer des forets communautaires et  des  forets communales dans le but de proteger des essences qui tendent e disparaitre.;Poste des eaux et forets.Mairie.; ;0;;0;0;0;;
524;598;180107;Lacs;Defaut deexpertise et de suivi des pecheurs.;Peche/Tourisme.;Plusieurs tonnes de poissons y sont pechees.;Defaut deexpertise.;Amenagement et viabilisation du lac.;Service financier de developpement economique.; ;0;;0;0;0;;
525;599;180107;Chutes d'eau;Defaut  de promotion et equipement.;Tourisme . ;Naturellement impressionnante.;Tendance e une baisse de la valeur.;Promotion et equipement du site.;Mairie.; ;0;;0;0;0;;
526;600;170807;Sable, pierre (granite), laterite;principales ressources naturelles locales comprennent;;;;;; ;0;;0;0;0;;
527;601;170807;Cours deeau;;;;;;; ;0;;0;0;0;;
528;602;170807;Marecages ;;;;;;; ;0;;0;0;0;;
529;603;170807;Foret dense et marecages;;;;;;; ;0;;0;0;0;;
530;604;180203;Forets;;Populations riveraine;Non estime;DeforestationAgriculture Itinerante sur brelis;Inventaire forestiere du massifDelimitation des zones champetre;Aucun; ;0;;0;0;0;;
531;605;180203;Foret dense et marecages;;Non exploite;AgriculturePisciculture ;Enclavement des sites marecageux;Vulgarisation du potentiel des marecages concernant leagriculture et la piscicultureDesenclavement des zones de marecage; Pas de contrele; ;0;;0;0;0;;
532;606;180203;Terres cultivables;;Populations locales;Plusieurs varietes de cultures de rente et vivrieres;Faible productivite de leactivite agricoleAcces difficiles aux intrants et aux marchesFaible organisation;Mise en place des cooperatives agricolesRenforcement de leencadrement agricoleAmenagement des pistes rurales;Pas de contrele; ;0;;0;0;0;;
533;607;180203;Cours deeau;;Populationslocales;Peche,irrigation des parcelles agricoles;Irregularite de certains cours deeau ;;Pas decontrele; ;0;;0;0;0;;
534;608;120104;Forets;;;"Les terres fertiles ;La large plaine de Bangue (Bas fonds) ;Les forets (Forets non classees, forets communautaires, foret communale) comportant de nombreuses essences rares ;Les produits forestiers non ligneux (Ecorces, fruits, marginettes, Koko, Djansan...) ;Relief peu accidente ;Climat favorable e leagriculture et e leelevage ;Abondance et disponibilite des terres fertiles et exploitables ;";"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune) ;";;; ;0;;0;0;0;;
535;609;120104;Cours deeau poissonneux;;;Les cours deeau poissonneux de Boumba, Djue, Mempoe;"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune)";;; ;0;;0;0;0;;
536;610;120104;Ressources minieres;;;"Les minerais de Nikel et de Cobalt ;Leor du Canton de Bidjouki ;Le diamant de Mobilong ";"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune) ";;; ;0;;0;0;0;;
537;611;120104;Potentiel  touristique;;;Les sites touristiques comprenant la reserve de Boumba Bek, (parc national), le fleuve Boumba, la chute Esok-Lytoumme ;"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune) ";;; ;0;;0;0;0;;
538;612;120104;Faune;;;La grande faune comportant les singes, les lievres, les elephants...;"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune)";;; ;0;;0;0;0;;
539;613;120104;Climat;;;Climat favorable e leagriculture et e leelevage.;"Perturbations climatiques ;Degradation accentuee du reseau routier (enclavement de la commune) ";;; ;0;;0;0;0;;
540;614;180101;Flore et Faune;;;Foret luxuriante et riche en faune et en essences forestieres.Foret communale deje classee deune superficie de 27798 ha.Flore favorable e diverses exploitations (bois deeuvre, bois de chauffage, collectes des PFNL, chasse, etc.).Rivieres poissonneuses et riches en limons favorables e la pratique de la peche et e deautres exploitations.Existence de nombreuses carrieres de sable pouvant etre exploitees pour reduire le chemage.Existence de bas-fonds propices e la pratique des cultures maraecheres, des cultures de contre saisons et e la pisciculture.Diversite culturelle.Production vegetale et animale diversifiee.;Presence deenormes arbres en foret decourageant la pratique deune agriculture intensive.Exploitation illicite de la foret.Perte des ressources forestieres de bois allouees e deautres usages.;;; ;0;;0;0;0;;
541;615;180101;Rivieres;;;Rivieres poissonneuses et riches en limons favorables e la pratique de la peche et e deautres exploitations.Bac sur la riviere Dja e Nlobeseee (canton du Dja).;;;; ;0;;0;0;0;;
542;616;180101;Flore;;;Flore favorable e diverses exploitations (bois deeuvre,bois de chauffage, collectes des PFNL, chasse, etc.);Presence deenormes arbres en foret decourageant la pratique deune agriculture intensive.;;; ;0;;0;0;0;;
543;618;180101;Cours deeau poissonneux;;;Presence des cours deeaux poissonneux.;;;; ;0;;0;0;0;;
544;619;180101;Carrieres  de  sable;;;Existence de nombreuses carrieres de sable pouvant etre exploitees pour reduire le chemage.;;;; ;0;;0;0;0;;
545;620;180101;Terres cultivables;;;Existence de vastes etendues de terres fertiles. ;;;; ;0;;0;0;0;;
546;621;180101;Bas fonds ;;;Existence de bas-fonds propices e la pratique des cultures maraecheres, des cultures de contre saisons et e la pisciculture.;;;; ;0;;0;0;0;;
547;622;180108;Fortes Ressources humaines ;;;ND.;Limitation des etendues des terres cultivables.Difficulte deacces aux terres concernees par leexploitation.Privation deutilisation des autres ressources en leoccurrence le bois et les cours deeau situes dans les villages hetes.;;; ;0;;0;0;0;;
548;623;180108;Sable, pierre (granite), laterite;Exploitation artisanale.;;ND.;Inexistence des pistes de desserte.Absence deoutils adequats.Manque deorganisation des exploitants.;;; ;0;;0;0;0;;
549;624;180108;Graviers et pierres;;;ND.;Inexistence des pistes de desserte.Absence deoutils adequats.Manque deorganisation des exploitants.;;; ;0;;0;0;0;;
550;625;110903;Forets;;Bois deeuvre, bois de chauffe, chasse, ceuillette, champs de vivres, vignage, artisanat, pharmacopee.;Diversite floristique, (Ayous, Bibolo, Movingui, Bubinga, moabi, Iroko, Kossipo, Sipo, Sapelli, bilinga, Ebene, parassolier, baoba Plantes medecinales, PFNL), et faunique (Lievre, Porc-epic, Herisson, Singe, Tortue). Raphia,palmier,terre marecageuse, bois de chauffe, richesses fauniques et floristiques, grandes superficies de terres cultivables et fertiles, fourage.;;;Populations riveraines, exploitants forestiers.; ;0;;0;0;0;;
551;626;110903;Savane ;;Bois deeuvre, bois de chauffe, chasse, cueillette, paille.;Diversite faunique et floristique (Iroko, Bibolo, Sapelli, bilinga, Ajap, Ayous, PFNL), Aires de Paturage, atout touristique important non exploite, plantes medicinales.;;;Communaute du village, exploitants forestiers.; ;0;;0;0;0;;
552;627;110903;Carrieres  de  sable;;Construction des betiments, Vente du sable.;Importante reserve de sable.;;;Population locale.; ;0;;0;0;0;;
553;628;110903;Carrieres de pierres;;Construction des maisons.Reprofilage de la route.;Presence des reserves de laterites et des affleurements rocheux.;;;Communaute.Mairie.; ;0;;0;0;0;;
554;629;110903;Monts;;Site touristique, activites sportives, Sources d'eau.;Reserve de pierre, plantes, medicinales, sources d'eau minerale.;;;Communaute.Mairie.Touristes.; ;0;;0;0;0;;
555;630;140112;Sable, pierre (granite), laterite;;;Fort potentiel non exploite.;Acces difficile e la zone pierreuse.Manque deinitiative.Site non amenage.;Mener une etude deexploitation.;Acces libre.; ;0;;0;0;0;;
556;631;140112;Cours deeau;;;Site de realisation des ouvrages hydrauliques (captage, barrage, etc.).Possibilite de captage pour irrigation (pisciculture, agriculture).;Faible exploitation des zones marecageuses.Difficulte deexploitation des sources en eau potable.Utilisation des pesticides polluant les cours deeau par les agriculteurs.Voies deacces difficiles.;elaborer un projet de gestion des marecages pour leagriculture et la pisciculture.Amenager les sources deeau potable.La construction des forages pour la consommation et leutilisation domestique. Construction des infrastructures de franchissement.;Acces libre.; ;0;;0;0;0;;
557;632;140112;Chutes d'eau;;;Potentiel moyen de destination touristique.;Acces difficile.Non valorisation de la ressource.;Mener une etude deexploitation.Amenager un espace de loisir.;Acces libre.; ;0;;0;0;0;;
558;633;140112;Forets;;;Fort potentiel des especes ligneuses et non ligneuses (les arbres fruitiers, eucalyptus, palmiers e huile, plantes medicinales, palmiers dattiers et raphiales).;Exploitation anarchique des forets.Absence de domestication des especes.Absence deexploitation de grande et moyenne importance.;Sensibiliser les populations riveraines e la bonne gestion de leur patrimoine (domestication des especes, installation des  barrieres de contrele des produits forestiers, formuler les demandes pour leobtention des forets communautaires).Sensibiliser les elites e creer les exploitations  dans les villages.;Acces libre.; ;0;;0;0;0;;
559;634;140112;Sols;;;Fort potentiel en sols  argilo- limoneux et de couleur noir et rougeetre favorables e la pratiques de plusieurs cultures (agrumes, cacaoyer, cafeier, palmier e huile, tubercules, maes et les legumineuses).;Baisse de la fertilite.Insuffisances dans les techniques de gestion et de conservation des sols.Difficulte deacces e la propriete fonciere.Inapproprie (laterite) pour le reprofilage routier.;Sensibiliser  les producteurs sur la pratique de la fertilisation minerale et organique.Sensibiliser  les producteurs sur les techniques culturales antis erosives.Vulgariser et accompagner les populations dans leobtention du titre foncier.Utilisation des engrais.Pratique de la jachere.Pratique de leagroforesterie.;Acces contrele par les chefferies.; ;0;;0;0;0;;
560;635;140112;Cours deeau;;Utilisation menagere.Abreuvage.Arrosage, loisirs / Populations.;Fort potentiel de deux principaux cours deeau (Riviere Essoua et Riviere Mboeoh) et plusieurs affluents.;Baisse de debit des cours deeaux en saison seche.Inondation des champs en saison de pluies.Pollution.Faible pratique de la peche.;Reglementation de leexploitation des cours deeau.Sensibilisation sur la non pollution.Sensibilisation sur la gestion durable des ressources en eau.Amenagement des espaces de loisir.;Contrele par : MINEE MINEPDED Commune Chefs Populations / Peche Loisir et tourisme.; ;0;;0;0;0;;
561;636;140112;Marecages ;;Pratique de leagriculture Culture maraichere (tomate, gombo, piment, e).;Vastes autour des principales rivieres.Bambou de raphia, bambou de chine.Sols fertiles.;Enclavement, difficulte deacces.Difficulte deevacuation des produits agricoles.Inondations en saison de pluie.Biotope des reptiles.;Renforcement des capacites des preservations des zones marecageuses, leusage et la proprete des bas-fonds.Amenagement des voies d'acces.Interdiction des constructions en zones marecageuses.Promotion du reboisement.Formation des maraichers.;Contrele par : Commune population/Vulgarisation de la pisciculture et des cultures maraicheres.; ;0;;0;0;0;;
562;637;140112;Forets;;Chasse, culture de rente, coupe du bois de chauffage.Exploitation du bois deeuvre pour constructions.;Forets sacrees Presence de la faune (petits rongeurs, herbivores sauvages.Petits carnivores, singes), bois deeuvre (Iroko, Bibinga, Padouk, Mangossi, Pachi), essences medicinales et produits forestiers non ligneux (Noisettes,Colae).;Chasse abusive, deforestation.Disparition des essences forestieres et des plantes medicinales.Feux de brousse.Rarete des ressources fauniques.;Sensibilisation sur les dangers de leagriculture itinerante sur brulis, le braconnage, les feux de brousse, la coupe abusive du bois.Promotion du reboisement.Creation des comites locaux de gestions des forets.;Contrele par : MINFOF MINATD MINEPDED Commune Chefs/Creation des forets communautaires.; ;0;;0;0;0;;
563;638;140112;Forets;;Forets sacrees : rites traditionnels pharmacopee / inities et autorites traditionnelles.;Forets sacrees Presence de la faune (petits rongeurs, herbivores sauvages.Petits carnivores, singes), bois deeuvre (Iroko, Bibinga, Padouk, Mangossi, Pachi), essences medicinales et produits forestiers non ligneux (Noisettes,Colae).;Chasse abusive, deforestation.Disparition des essences forestieres et des plantes medicinales.Feux de brousse.Rarete des ressources fauniques.;Interdiction de la profanation.Renforcer leinterdiction deacces.;Chefferie et autorites de cultes.Preservation du patrimoine culturel.; ;0;;0;0;0;;
564;639;140112;Zone de peturage;;Construction des abreuvoirs.Peturage / Colonie bororos.;Sol peu fertile sur les flancs de colline et difficile deacces.;Insuffisance de peturage.Conflits agropastoraux.Absence de marche e betail, de chevres et autres produits de leelevage (porcs, poulets, etc.).Insuffisance deingredients dans les depets dealiments deelevage de la ville.Maladie (peste porcine) endemique qui decourage les jeunes eleveurs.Divagation des betes (chevres et porcs) dans leespace urbain..;Delimitation des espaces agricoles et deelevage.Amenagement des nouveaux peturages.Creation des points de vente du betail.Gestion des conflits par les autorites villageoises.;Contrele par : MINEPIA Commune Chefs.; ;0;;0;0;0;;
